
Image Name                     PID Session Name        Session#    Mem Usage
Code.exe                     17148 Console                    1    216,944 K
CodeHelper.exe               14656 Console                    1     16,704 K
Code.exe                      6944 Console                    1    368,332 K
conhost.exe                   6632 Console                    1     10,984 K
Code.exe                     16700 Console                    1     78,152 K
Code.exe                      8560 Console                    1     76,176 K
cmd.exe                       8720 Console                    1      4,968 K
conhost.exe                  14412 Console                    1     10,900 K
dart.exe                     16812 Console                    1    128,760 K
conhost.exe                  17116 Console                    1     10,896 K
vsls-agent.exe               14892 Console                    1     46,464 K
java.exe                      9504 Console                    1    716,356 K
conhost.exe                  16048 Console                    1     10,912 K
java.exe                      9524 Console                    1    328,980 K
conhost.exe                   9232 Console                    1     10,844 K
UtcDecoderHost.exe           15392 Services                   0      8,088 K
conhost.exe                  14928 Services                   0      4,712 K
conhost.exe                  11956 Console                    1      7,744 K
powershell.exe                 684 Console                    1     67,652 K
SearchProtocolHost.exe       16328 Services                   0     11,188 K
chrome.exe                   11988 Console                    1     80,132 K
chrome.exe                    5952 Console                    1     27,728 K
svchost.exe                   6572 Services                   0      7,940 K
cmd.exe                      14084 Console                    1      5,364 K
java.exe                     17124 Console                    1     34,708 K
tasklist.exe                 17156 Console                    1      9,868 K
conhost.exe                  14864 Console                    1     11,104 K
WmiPrvSE.exe                 14272 Services                   0     10,436 K
